date,Mkt-RF,SMB,HML,RF
2010/1/1,-3.36,0.4,0.43,0
2010/2/1,3.4,1.19,3.23,0
2010/3/1,6.31,1.48,2.21,0.01
2010/4/1,2,4.87,2.89,0.01
2010/5/1,-7.89,0.09,-2.44,0.01
2010/6/1,-5.57,-1.82,-4.7,0.01
2010/7/1,6.93,0.2,-0.31,0.01
2010/8/1,-4.77,-3,-1.9,0.01
2010/9/1,9.54,3.96,-3.16,0.01
2010/10/1,3.88,1.14,-2.43,0.01
2010/11/1,0.6,3.77,-0.96,0.01
2010/12/1,6.82,0.73,3.7,0.01
2011/1/1,1.99,-2.5,0.83,0.01
2011/2/1,3.49,1.53,1.27,0.01
2011/3/1,0.46,2.54,-1.83,0.01
2011/4/1,2.9,-0.38,-2.43,0
2011/5/1,-1.27,-0.59,-2.12,0
2011/6/1,-1.75,-0.12,-0.42,0
2011/7/1,-2.35,-1.26,-0.9,0
2011/8/1,-5.99,-3.05,-2.36,0.01
2011/9/1,-7.59,-3.31,-1.72,0
2011/10/1,11.35,3.28,0.1,0
2011/11/1,-0.28,-0.16,-0.46,0
2011/12/1,0.74,-0.59,1.63,0
2012/1/1,5.05,2.04,-0.97,0
2012/2/1,4.42,-1.85,0.43,0
2012/3/1,3.11,-0.64,1.14,0
2012/4/1,-0.85,-0.42,-0.78,0
2012/5/1,-6.19,0.07,-1.07,0.01
2012/6/1,3.89,0.67,0.62,0
2012/7/1,0.79,-2.74,-0.02,0
2012/8/1,2.55,0.47,1.3,0.01
2012/9/1,2.73,0.5,1.6,0.01
2012/10/1,-1.76,-1.15,3.59,0.01
2012/11/1,0.78,0.63,-0.84,0.01
2012/12/1,1.18,1.48,3.51,0.01
2013/1/1,5.57,0.33,0.96,0
2013/2/1,1.29,-0.27,0.11,0
2013/3/1,4.03,0.81,-0.19,0
2013/4/1,1.55,-2.37,0.45,0
2013/5/1,2.8,1.7,2.63,0
2013/6/1,-1.2,1.33,0.03,0
2013/7/1,5.65,1.87,0.57,0
2013/8/1,-2.71,0.27,-2.69,0
2013/9/1,3.77,2.88,-1.22,0
2013/10/1,4.18,-1.53,1.25,0
2013/11/1,3.13,1.29,0.32,0
2013/12/1,2.81,-0.46,-0.02,0
2014/1/1,-3.32,0.89,-2.07,0
2014/2/1,4.65,0.35,-0.31,0
2014/3/1,0.43,-1.81,4.93,0
2014/4/1,-0.19,-4.19,1.17,0
2014/5/1,2.06,-1.88,-0.13,0
2014/6/1,2.61,3.09,-0.7,0
2014/7/1,-2.04,-4.29,0.03,0
2014/8/1,4.24,0.4,-0.45,0
2014/9/1,-1.97,-3.71,-1.34,0
2014/10/1,2.52,4.21,-1.81,0
