Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.7566371681415929,0.7679324894514767
1.0,1.0,0.7610619469026548,0.7731092436974789
1.0,5.0,0.7477876106194691,0.7553648068669528
1.0,10.0,0.7610619469026548,0.7692307692307692
1.0,100.0,0.7522123893805309,0.7606837606837605
2.0,0.5,0.5,0.570342205323194
2.0,1.0,0.46017699115044247,0.5196850393700788
2.0,5.0,0.46017699115044247,0.5158730158730159
2.0,10.0,0.4911504424778761,0.5454545454545455
2.0,100.0,0.4823008849557522,0.5063291139240507
3.0,0.5,0.7035398230088495,0.7413127413127413
3.0,1.0,0.7477876106194691,0.7747035573122529
3.0,5.0,0.7433628318584071,0.7603305785123968
3.0,10.0,0.7389380530973452,0.748936170212766
3.0,100.0,0.7168141592920354,0.7241379310344829
4.0,0.5,0.5309734513274337,0.6513157894736843
4.0,1.0,0.5442477876106194,0.6578073089700996
4.0,5.0,0.5221238938053098,0.6058394160583942
4.0,10.0,0.5398230088495575,0.6176470588235293
4.0,100.0,0.5663716814159292,0.6141732283464568
