n,accuracy,f1 score
10.0,0.759090909090909,0.7579908675799086
20.0,0.7681818181818182,0.7753303964757711
30.0,0.7727272727272727,0.7807017543859649
40.0,0.7863636363636364,0.7965367965367965
50.0,0.7727272727272727,0.7863247863247863
60.0,0.7681818181818182,0.7811158798283262
70.0,0.7772727272727272,0.7896995708154506
80.0,0.7863636363636364,0.7982832618025751
90.0,0.7863636363636364,0.7965367965367965
100.0,0.7863636363636364,0.7965367965367965
110.0,0.7909090909090909,0.8
120.0,0.8,0.808695652173913
130.0,0.7909090909090909,0.8017241379310344
140.0,0.7863636363636364,0.7965367965367965
150.0,0.7818181818181819,0.793103448275862
160.0,0.7863636363636364,0.7999999999999999
170.0,0.7772727272727272,0.7896995708154506
180.0,0.7863636363636364,0.7982832618025751
190.0,0.7909090909090909,0.8034188034188033
200.0,0.7909090909090909,0.8017241379310344
