Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.7629310344827587,0.7533632286995515
1.0,1.0,0.7672413793103449,0.7589285714285714
1.0,5.0,0.7672413793103449,0.7567567567567567
1.0,10.0,0.7543103448275862,0.7466666666666666
1.0,100.0,0.75,0.7456140350877194
2.0,0.5,0.5043103448275862,0.4041450777202073
2.0,1.0,0.47844827586206895,0.34594594594594597
2.0,5.0,0.47413793103448276,0.3775510204081633
2.0,10.0,0.46120689655172414,0.3961352657004831
2.0,100.0,0.46120689655172414,0.4541484716157205
3.0,0.5,0.7413793103448276,0.7272727272727274
3.0,1.0,0.7456896551724138,0.7423580786026202
3.0,5.0,0.7241379310344828,0.7142857142857143
3.0,10.0,0.728448275862069,0.72
3.0,100.0,0.6896551724137931,0.6727272727272728
4.0,0.5,0.5301724137931034,0.6604361370716512
4.0,1.0,0.5517241379310345,0.5968992248062016
4.0,5.0,0.5129310344827587,0.4541062801932367
4.0,10.0,0.5344827586206896,0.47058823529411764
4.0,100.0,0.5387931034482759,0.5023255813953489
