Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.7413793103448276,0.7272727272727274
0.5,1.0,0.7327586206896551,0.7181818181818181
0.5,5.0,0.7198275862068966,0.7085201793721974
0.5,10.0,0.7112068965517241,0.6995515695067265
1.0,0.5,0.7155172413793104,0.6796116504854369
1.0,1.0,0.7241379310344828,0.7009345794392522
1.0,5.0,0.7198275862068966,0.7058823529411764
1.0,10.0,0.7198275862068966,0.7085201793721974
1.5,0.5,0.6551724137931034,0.5604395604395604
1.5,1.0,0.7112068965517241,0.6794258373205742
1.5,5.0,0.7198275862068966,0.7031963470319635
1.5,10.0,0.7198275862068966,0.7031963470319635
2.0,0.5,0.6422413793103449,0.5202312138728323
2.0,1.0,0.6853448275862069,0.6368159203980099
2.0,5.0,0.6767241379310345,0.6445497630331753
2.0,10.0,0.6767241379310345,0.6445497630331753
2.5,0.5,0.625,0.4971098265895954
2.5,1.0,0.646551724137931,0.5684210526315788
2.5,5.0,0.6724137931034483,0.62
2.5,10.0,0.6724137931034483,0.62
3.0,0.5,0.6077586206896551,0.44848484848484854
3.0,1.0,0.6336206896551724,0.5454545454545455
3.0,5.0,0.6508620689655172,0.5803108808290155
3.0,10.0,0.6508620689655172,0.5803108808290155
3.5,0.5,0.5517241379310345,0.2972972972972973
3.5,1.0,0.6206896551724138,0.5111111111111112
3.5,5.0,0.6293103448275862,0.5376344086021506
3.5,10.0,0.6293103448275862,0.5376344086021506
4.0,0.5,0.5387931034482759,0.1954887218045113
4.0,1.0,0.6163793103448276,0.47953216374269
4.0,5.0,0.6163793103448276,0.5082872928176795
4.0,10.0,0.6163793103448276,0.5082872928176795
4.5,0.5,0.5301724137931034,0.16793893129770993
4.5,1.0,0.5991379310344828,0.44311377245508987
4.5,5.0,0.6163793103448276,0.47953216374269
4.5,10.0,0.6163793103448276,0.47953216374269
5.0,0.5,0.5301724137931034,0.14173228346456695
5.0,1.0,0.5905172413793104,0.42424242424242425
5.0,5.0,0.603448275862069,0.4523809523809524
5.0,10.0,0.603448275862069,0.4523809523809524
10.0,0.5,0.5172413793103449,0.06666666666666667
10.0,1.0,0.5258620689655172,0.16666666666666666
10.0,5.0,0.521551724137931,0.17777777777777778
10.0,10.0,0.521551724137931,0.17777777777777778
