Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.8103448275862069,0.811965811965812
1.0,1.0,0.7931034482758621,0.7983193277310925
1.0,5.0,0.7931034482758621,0.7999999999999999
1.0,10.0,0.7887931034482759,0.7983539094650205
1.0,100.0,0.7844827586206896,0.7967479674796748
2.0,0.5,0.5344827586206896,0.6223776223776224
2.0,1.0,0.5344827586206896,0.6170212765957448
2.0,5.0,0.5258620689655172,0.5985401459854014
2.0,10.0,0.5129310344827587,0.5830258302583025
2.0,100.0,0.5387931034482759,0.5668016194331984
3.0,0.5,0.7672413793103449,0.7857142857142856
3.0,1.0,0.7801724137931034,0.7901234567901235
3.0,5.0,0.7974137931034483,0.7982832618025749
3.0,10.0,0.7844827586206896,0.7899159663865546
3.0,100.0,0.7413793103448276,0.7478991596638656
4.0,0.5,0.5862068965517241,0.6883116883116883
4.0,1.0,0.603448275862069,0.6849315068493151
4.0,5.0,0.603448275862069,0.6690647482014388
4.0,10.0,0.5646551724137931,0.6273062730627306
4.0,100.0,0.5560344827586207,0.5863453815261045
