Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.9292035398230089,0.9322033898305085
0.5,1.0,0.9203539823008849,0.9224137931034483
0.5,5.0,0.9203539823008849,0.9224137931034483
0.5,10.0,0.9203539823008849,0.9224137931034483
1.0,0.5,0.8584070796460177,0.873015873015873
1.0,1.0,0.915929203539823,0.9184549356223176
1.0,5.0,0.915929203539823,0.9184549356223176
1.0,10.0,0.915929203539823,0.9184549356223176
1.5,0.5,0.8584070796460177,0.873015873015873
1.5,1.0,0.8584070796460177,0.873015873015873
1.5,5.0,0.8584070796460177,0.873015873015873
1.5,10.0,0.8584070796460177,0.873015873015873
2.0,0.5,0.8584070796460177,0.873015873015873
2.0,1.0,0.8584070796460177,0.873015873015873
2.0,5.0,0.8584070796460177,0.873015873015873
2.0,10.0,0.8584070796460177,0.873015873015873
2.5,0.5,0.8584070796460177,0.873015873015873
2.5,1.0,0.8584070796460177,0.873015873015873
2.5,5.0,0.8584070796460177,0.873015873015873
2.5,10.0,0.8584070796460177,0.873015873015873
3.0,0.5,0.8584070796460177,0.873015873015873
3.0,1.0,0.8584070796460177,0.873015873015873
3.0,5.0,0.8584070796460177,0.873015873015873
3.0,10.0,0.8584070796460177,0.873015873015873
3.5,0.5,0.8584070796460177,0.873015873015873
3.5,1.0,0.8584070796460177,0.873015873015873
3.5,5.0,0.8584070796460177,0.873015873015873
3.5,10.0,0.8584070796460177,0.873015873015873
4.0,0.5,0.8584070796460177,0.873015873015873
4.0,1.0,0.8584070796460177,0.873015873015873
4.0,5.0,0.8584070796460177,0.873015873015873
4.0,10.0,0.8584070796460177,0.873015873015873
4.5,0.5,0.8584070796460177,0.873015873015873
4.5,1.0,0.8584070796460177,0.873015873015873
4.5,5.0,0.8584070796460177,0.873015873015873
4.5,10.0,0.8584070796460177,0.873015873015873
5.0,0.5,0.8584070796460177,0.873015873015873
5.0,1.0,0.8584070796460177,0.873015873015873
5.0,5.0,0.8584070796460177,0.873015873015873
5.0,10.0,0.8584070796460177,0.873015873015873
10.0,0.5,0.8584070796460177,0.873015873015873
10.0,1.0,0.8584070796460177,0.873015873015873
10.0,5.0,0.8584070796460177,0.873015873015873
10.0,10.0,0.8584070796460177,0.873015873015873
