Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.9070796460176991,0.9106382978723404
0.5,1.0,0.9070796460176991,0.9106382978723404
0.5,5.0,0.9070796460176991,0.9106382978723404
0.5,10.0,0.9070796460176991,0.9106382978723404
1.0,0.5,0.8407079646017699,0.8615384615384616
1.0,1.0,0.8407079646017699,0.8615384615384616
1.0,5.0,0.8407079646017699,0.8615384615384616
1.0,10.0,0.8407079646017699,0.8615384615384616
1.5,0.5,0.8407079646017699,0.8615384615384616
1.5,1.0,0.8407079646017699,0.8615384615384616
1.5,5.0,0.8407079646017699,0.8615384615384616
1.5,10.0,0.8407079646017699,0.8615384615384616
2.0,0.5,0.8407079646017699,0.8615384615384616
2.0,1.0,0.8407079646017699,0.8615384615384616
2.0,5.0,0.8407079646017699,0.8615384615384616
2.0,10.0,0.8407079646017699,0.8615384615384616
2.5,0.5,0.8407079646017699,0.8615384615384616
2.5,1.0,0.8407079646017699,0.8615384615384616
2.5,5.0,0.8407079646017699,0.8615384615384616
2.5,10.0,0.8407079646017699,0.8615384615384616
3.0,0.5,0.8407079646017699,0.8615384615384616
3.0,1.0,0.8407079646017699,0.8615384615384616
3.0,5.0,0.8407079646017699,0.8615384615384616
3.0,10.0,0.8407079646017699,0.8615384615384616
3.5,0.5,0.8407079646017699,0.8615384615384616
3.5,1.0,0.8407079646017699,0.8615384615384616
3.5,5.0,0.8407079646017699,0.8615384615384616
3.5,10.0,0.8407079646017699,0.8615384615384616
4.0,0.5,0.8407079646017699,0.8615384615384616
4.0,1.0,0.8407079646017699,0.8615384615384616
4.0,5.0,0.8407079646017699,0.8615384615384616
4.0,10.0,0.8407079646017699,0.8615384615384616
4.5,0.5,0.8407079646017699,0.8615384615384616
4.5,1.0,0.8407079646017699,0.8615384615384616
4.5,5.0,0.8407079646017699,0.8615384615384616
4.5,10.0,0.8407079646017699,0.8615384615384616
5.0,0.5,0.8407079646017699,0.8615384615384616
5.0,1.0,0.8407079646017699,0.8615384615384616
5.0,5.0,0.8407079646017699,0.8615384615384616
5.0,10.0,0.8407079646017699,0.8615384615384616
10.0,0.5,0.8407079646017699,0.8615384615384616
10.0,1.0,0.8407079646017699,0.8615384615384616
10.0,5.0,0.8407079646017699,0.8615384615384616
10.0,10.0,0.8407079646017699,0.8615384615384616
