Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.95,0.9488372093023255
1.0,1.0,0.9545454545454546,0.9532710280373831
1.0,5.0,0.9545454545454546,0.9532710280373831
1.0,10.0,0.9545454545454546,0.9532710280373831
1.0,100.0,0.9681818181818181,0.967741935483871
2.0,0.5,0.4863636363636364,0.4541062801932367
2.0,1.0,0.44545454545454544,0.46956521739130436
2.0,5.0,0.44545454545454544,0.4553571428571428
2.0,10.0,0.45454545454545453,0.46428571428571425
2.0,100.0,0.4590909090909091,0.47111111111111115
3.0,0.5,0.9545454545454546,0.9532710280373831
3.0,1.0,0.9636363636363636,0.9629629629629629
3.0,5.0,0.9636363636363636,0.9629629629629629
3.0,10.0,0.9636363636363636,0.9629629629629629
3.0,100.0,0.9636363636363636,0.9629629629629629
4.0,0.5,0.45,0.4210526315789474
4.0,1.0,0.44545454545454544,0.4553571428571428
4.0,5.0,0.4590909090909091,0.48927038626609437
4.0,10.0,0.4590909090909091,0.48927038626609437
4.0,100.0,0.4590909090909091,0.48927038626609437
