Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.9525862068965517,0.9523809523809523
0.5,1.0,0.9525862068965517,0.9523809523809523
0.5,5.0,0.9525862068965517,0.9523809523809523
0.5,10.0,0.9525862068965517,0.9523809523809523
1.0,0.5,0.9396551724137931,0.9375
1.0,1.0,0.8836206896551724,0.891566265060241
1.0,5.0,0.8836206896551724,0.891566265060241
1.0,10.0,0.8836206896551724,0.891566265060241
1.5,0.5,0.8663793103448276,0.8502415458937199
1.5,1.0,0.8836206896551724,0.891566265060241
1.5,5.0,0.8836206896551724,0.891566265060241
1.5,10.0,0.8836206896551724,0.891566265060241
2.0,0.5,0.8663793103448276,0.8502415458937199
2.0,1.0,0.8836206896551724,0.891566265060241
2.0,5.0,0.8836206896551724,0.891566265060241
2.0,10.0,0.8836206896551724,0.891566265060241
2.5,0.5,0.8663793103448276,0.8502415458937199
2.5,1.0,0.8836206896551724,0.891566265060241
2.5,5.0,0.8836206896551724,0.891566265060241
2.5,10.0,0.8836206896551724,0.891566265060241
3.0,0.5,0.8663793103448276,0.8502415458937199
3.0,1.0,0.8836206896551724,0.891566265060241
3.0,5.0,0.8836206896551724,0.891566265060241
3.0,10.0,0.8836206896551724,0.891566265060241
3.5,0.5,0.8663793103448276,0.8502415458937199
3.5,1.0,0.8836206896551724,0.891566265060241
3.5,5.0,0.8836206896551724,0.891566265060241
3.5,10.0,0.8836206896551724,0.891566265060241
4.0,0.5,0.8663793103448276,0.8502415458937199
4.0,1.0,0.8836206896551724,0.891566265060241
4.0,5.0,0.8836206896551724,0.891566265060241
4.0,10.0,0.8836206896551724,0.891566265060241
4.5,0.5,0.8663793103448276,0.8502415458937199
4.5,1.0,0.8836206896551724,0.891566265060241
4.5,5.0,0.8836206896551724,0.891566265060241
4.5,10.0,0.8836206896551724,0.891566265060241
5.0,0.5,0.8663793103448276,0.8502415458937199
5.0,1.0,0.8836206896551724,0.891566265060241
5.0,5.0,0.8836206896551724,0.891566265060241
5.0,10.0,0.8836206896551724,0.891566265060241
10.0,0.5,0.8663793103448276,0.8502415458937199
10.0,1.0,0.8836206896551724,0.891566265060241
10.0,5.0,0.8836206896551724,0.891566265060241
10.0,10.0,0.8836206896551724,0.891566265060241
