Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.8318181818181818,0.8325791855203618
1.0,1.0,0.8227272727272728,0.8235294117647058
1.0,5.0,0.8090909090909091,0.8055555555555556
1.0,10.0,0.8045454545454546,0.7999999999999999
1.0,100.0,0.8136363636363636,0.8144796380090498
2.0,0.5,0.4818181818181818,0.5899280575539569
2.0,1.0,0.4818181818181818,0.5648854961832062
2.0,5.0,0.4909090909090909,0.5294117647058824
2.0,10.0,0.4681818181818182,0.4978540772532189
2.0,100.0,0.4818181818181818,0.5086206896551725
3.0,0.5,0.8,0.7904761904761904
3.0,1.0,0.8181818181818182,0.81651376146789
3.0,5.0,0.759090909090909,0.7685589519650655
3.0,10.0,0.7636363636363637,0.7719298245614035
3.0,100.0,0.7090909090909091,0.7192982456140351
4.0,0.5,0.4818181818181818,0.6013986013986014
4.0,1.0,0.4954545454545455,0.6132404181184669
4.0,5.0,0.4590909090909091,0.5703971119133574
4.0,10.0,0.4909090909090909,0.582089552238806
4.0,100.0,0.4954545454545455,0.5394190871369295
