Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.7931034482758621,0.7983193277310925
0.5,1.0,0.771551724137931,0.7744680851063831
0.5,5.0,0.7586206896551724,0.752212389380531
0.5,10.0,0.7155172413793104,0.7079646017699116
1.0,0.5,0.728448275862069,0.7123287671232877
1.0,1.0,0.7456896551724138,0.7354260089686098
1.0,5.0,0.728448275862069,0.7123287671232877
1.0,10.0,0.728448275862069,0.7123287671232877
1.5,0.5,0.7068965517241379,0.6494845360824743
1.5,1.0,0.7241379310344828,0.706422018348624
1.5,5.0,0.7155172413793104,0.6944444444444444
1.5,10.0,0.7155172413793104,0.6944444444444444
2.0,0.5,0.7068965517241379,0.6761904761904761
2.0,1.0,0.7198275862068966,0.6948356807511737
2.0,5.0,0.7068965517241379,0.6822429906542057
2.0,10.0,0.7068965517241379,0.6822429906542057
2.5,0.5,0.7586206896551724,0.7586206896551724
2.5,1.0,0.7112068965517241,0.673170731707317
2.5,5.0,0.7025862068965517,0.6698564593301435
2.5,10.0,0.7025862068965517,0.6698564593301435
3.0,0.5,0.625,0.4912280701754387
3.0,1.0,0.7068965517241379,0.6633663366336634
3.0,5.0,0.6982758620689655,0.6568627450980392
3.0,10.0,0.6982758620689655,0.6568627450980392
3.5,0.5,0.603448275862069,0.4390243902439025
3.5,1.0,0.6896551724137931,0.6326530612244898
3.5,5.0,0.6896551724137931,0.64
3.5,10.0,0.6896551724137931,0.64
4.0,0.5,0.625,0.48520710059171596
4.0,1.0,0.6810344827586207,0.6185567010309279
4.0,5.0,0.6810344827586207,0.6224489795918368
4.0,10.0,0.6810344827586207,0.6224489795918368
4.5,0.5,0.6422413793103449,0.5363128491620113
4.5,1.0,0.6767241379310345,0.6073298429319371
4.5,5.0,0.6810344827586207,0.6224489795918368
4.5,10.0,0.6810344827586207,0.6224489795918368
5.0,0.5,0.6551724137931034,0.708029197080292
5.0,1.0,0.6508620689655172,0.5621621621621621
5.0,5.0,0.6767241379310345,0.6153846153846154
5.0,10.0,0.6767241379310345,0.6153846153846154
10.0,0.5,0.5258620689655172,0.6686746987951806
10.0,1.0,0.5689655172413793,0.6815286624203822
10.0,5.0,0.5818965517241379,0.6881028938906752
10.0,10.0,0.5818965517241379,0.6881028938906752
