Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.9454545454545454,0.9433962264150944
0.5,1.0,0.9681818181818181,0.9680365296803652
0.5,5.0,0.9681818181818181,0.9680365296803652
0.5,10.0,0.9681818181818181,0.9680365296803652
1.0,0.5,0.8863636363636364,0.8743718592964823
1.0,1.0,0.8863636363636364,0.8743718592964823
1.0,5.0,0.8863636363636364,0.8743718592964823
1.0,10.0,0.8863636363636364,0.8743718592964823
1.5,0.5,0.8863636363636364,0.8743718592964823
1.5,1.0,0.8863636363636364,0.8743718592964823
1.5,5.0,0.8863636363636364,0.8743718592964823
1.5,10.0,0.8863636363636364,0.8743718592964823
2.0,0.5,0.8863636363636364,0.8743718592964823
2.0,1.0,0.8863636363636364,0.8743718592964823
2.0,5.0,0.8863636363636364,0.8743718592964823
2.0,10.0,0.8863636363636364,0.8743718592964823
2.5,0.5,0.8863636363636364,0.8743718592964823
2.5,1.0,0.8863636363636364,0.8743718592964823
2.5,5.0,0.8863636363636364,0.8743718592964823
2.5,10.0,0.8863636363636364,0.8743718592964823
3.0,0.5,0.8863636363636364,0.8743718592964823
3.0,1.0,0.8863636363636364,0.8743718592964823
3.0,5.0,0.8863636363636364,0.8743718592964823
3.0,10.0,0.8863636363636364,0.8743718592964823
3.5,0.5,0.8863636363636364,0.8743718592964823
3.5,1.0,0.8863636363636364,0.8743718592964823
3.5,5.0,0.8863636363636364,0.8743718592964823
3.5,10.0,0.8863636363636364,0.8743718592964823
4.0,0.5,0.8863636363636364,0.8743718592964823
4.0,1.0,0.8863636363636364,0.8743718592964823
4.0,5.0,0.8863636363636364,0.8743718592964823
4.0,10.0,0.8863636363636364,0.8743718592964823
4.5,0.5,0.8863636363636364,0.8743718592964823
4.5,1.0,0.8863636363636364,0.8743718592964823
4.5,5.0,0.8863636363636364,0.8743718592964823
4.5,10.0,0.8863636363636364,0.8743718592964823
5.0,0.5,0.8863636363636364,0.8743718592964823
5.0,1.0,0.8863636363636364,0.8743718592964823
5.0,5.0,0.8863636363636364,0.8743718592964823
5.0,10.0,0.8863636363636364,0.8743718592964823
10.0,0.5,0.8863636363636364,0.8743718592964823
10.0,1.0,0.8863636363636364,0.8743718592964823
10.0,5.0,0.8863636363636364,0.8743718592964823
10.0,10.0,0.8863636363636364,0.8743718592964823
