Rating,date,sp500 rating,tic,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,companyEquityMultiplier,payablesTurnover,CAPEI,bm,evm,pe_op_basic,pe_op_dil,ptpm,cfm,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_conversion,inv_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,divyield
B+,2015-05-31,C,AAL,0.965,0.889,0.655,16.19343389529725,0.078,0.169,0.33,0.178,0.171,0.298,1.096,0.947,69.75,5.113636363636364,0.8364312267657992,0.103,31.232954545454547,18.583,-39.513,0.075,6.657,6.449,6.62,0.086,0.115,1.096,0.228,1.096,0.284,0.312,0.176,0.824,0.9,0.824,0.057,0.052,0.224,0.078,0.138,0.394,2.339,0.084,0.342,0.39,0.533,0.305,0.074,-0.314,1.83,4.673,0.923,0.847,11.968,4.636,6.546,10.292,26.641,2.164,12.276,0.0,0.002,0.225,-0.022,.944%
BB-,2015-06-30,C,AAL,0.965,0.889,0.655,16.19343389529725,0.078,0.169,0.33,0.178,0.171,0.298,1.096,0.947,69.75,5.113636363636364,0.8364312267657992,0.103,31.232954545454547,18.583,-36.462,0.075,6.657,6.078,6.24,0.086,0.115,1.096,0.228,1.096,0.284,0.312,0.176,0.824,0.9,0.824,0.057,0.052,0.224,0.078,0.138,0.394,2.339,0.084,0.342,0.39,0.533,0.305,0.074,-0.314,1.83,4.673,0.923,0.847,11.968,4.636,6.546,10.292,26.641,2.164,12.276,0.0,0.002,0.225,-0.022,1.00%
BB-,2015-07-31,C,AAL,0.965,0.889,0.655,16.19343389529725,0.078,0.169,0.33,0.178,0.171,0.298,1.096,0.947,69.75,5.113636363636364,0.8364312267657992,0.103,31.232954545454547,18.583,-36.263,0.075,6.657,6.104,6.266,0.086,0.115,1.096,0.228,1.096,0.284,0.312,0.176,0.824,0.9,0.824,0.057,0.052,0.224,0.078,0.138,0.394,2.339,0.084,0.342,0.39,0.533,0.305,0.074,-0.314,1.83,4.673,0.923,0.847,11.968,4.636,6.546,10.292,26.641,2.164,12.276,0.0,0.002,0.225,-0.022,.998%
BB-,2015-08-31,C,AAL,0.951,0.875,0.644,16.204217536071035,0.1,0.177,0.344,0.191,0.179,0.304,1.206,0.919,75.03592814371257,5.4431137724550895,0.8447955390334573,0.103,34.78443113772455,17.893,-55.341,0.134,6.219,5.303,5.444,0.1,0.137,1.206,0.26,1.206,0.29,0.316,0.167,0.833,0.909,0.833,0.055,0.051,0.215,0.079,0.138,0.398,2.269,0.084,0.335,0.394,0.566,0.373,0.074,-0.092,1.789,4.976,0.927,0.855,12.632,5.518,6.958,9.919,25.894,2.097,12.531,0.0,0.002,0.225,-0.024,1.03%
BB-,2015-09-30,C,AAL,0.951,0.875,0.644,16.204217536071035,0.1,0.177,0.344,0.191,0.179,0.304,1.206,0.919,75.03592814371257,5.4431137724550895,0.8447955390334573,0.103,34.78443113772455,17.893,-52.526,0.134,6.219,5.283,5.423,0.1,0.137,1.206,0.26,1.206,0.29,0.316,0.167,0.833,0.909,0.833,0.055,0.051,0.215,0.079,0.138,0.398,2.269,0.084,0.335,0.394,0.566,0.373,0.074,-0.092,1.789,4.976,0.927,0.855,12.632,5.518,6.958,9.919,25.894,2.097,12.531,0.0,0.002,0.225,-0.024,1.03%
BB-,2015-10-31,C,AAL,0.951,0.875,0.644,16.204217536071035,0.1,0.177,0.344,0.191,0.179,0.304,1.206,0.919,75.03592814371257,5.4431137724550895,0.8447955390334573,0.103,34.78443113772455,17.893,-61.567,0.134,6.219,6.288,6.455,0.1,0.137,1.206,0.26,1.206,0.29,0.316,0.167,0.833,0.909,0.833,0.055,0.051,0.215,0.079,0.138,0.398,2.269,0.084,0.335,0.394,0.566,0.373,0.074,-0.092,1.789,4.976,0.927,0.855,12.632,5.518,6.958,9.919,25.894,2.097,12.531,0.0,0.002,0.225,-0.024,.865%
BB-,2015-11-30,C,AAL,0.95,0.879,0.655,16.080711957000617,0.119,0.192,0.366,0.21,0.191,0.33,1.471,0.888,91.48993288590604,6.234899328859061,0.8617810760667903,0.103,44.18120805369128,16.942,-136.13,0.151,5.806,4.792,4.924,0.119,0.157,1.471,0.293,1.471,0.31,0.325,0.149,0.851,0.929,0.851,0.053,0.049,0.213,0.075,0.135,0.407,2.188,0.083,0.325,0.399,0.612,0.48,0.074,0.132,1.772,5.732,0.935,0.871,14.358,6.297,7.643,8.819,25.811,2.025,13.632,0.0,0.002,0.225,-0.041,.969%
BB-,2015-12-31,C,AAL,0.95,0.879,0.655,16.080711957000617,0.119,0.192,0.366,0.21,0.191,0.33,1.471,0.888,91.48993288590604,6.234899328859061,0.8617810760667903,0.103,44.18120805369128,16.942,-138.46,0.151,5.806,4.919,5.054,0.119,0.157,1.471,0.293,1.471,0.31,0.325,0.149,0.851,0.929,0.851,0.053,0.049,0.213,0.075,0.135,0.407,2.188,0.083,0.325,0.399,0.612,0.48,0.074,0.132,1.772,5.732,0.935,0.871,14.358,6.297,7.643,8.819,25.811,2.025,13.632,0.0,0.002,0.225,-0.041,.945%
BB-,2016-01-31,C,AAL,0.95,0.879,0.655,16.080711957000617,0.119,0.192,0.366,0.21,0.191,0.33,1.471,0.888,91.48993288590604,6.234899328859061,0.8617810760667903,0.103,44.18120805369128,16.942,-127.47,0.151,5.806,4.528,4.653,0.119,0.157,1.471,0.293,1.471,0.31,0.325,0.149,0.851,0.929,0.851,0.053,0.049,0.213,0.075,0.135,0.407,2.188,0.083,0.325,0.399,0.612,0.48,0.074,0.132,1.772,5.732,0.935,0.871,14.358,6.297,7.643,8.819,25.811,2.025,13.632,0.0,0.002,0.225,-0.041,1.03%
BB-,2016-02-29,C,AAL,0.734,0.67,0.511,14.229464738216834,0.186,0.2,0.38,0.217,0.193,0.316,2.679,0.889,30.953191489361704,3.651063829787234,0.7849954254345837,-0.649,17.097872340425532,17.194,25.738,0.213,5.288,4.371,4.496,0.113,0.225,1.988,0.469,1.988,0.319,0.322,0.235,0.765,0.858,0.765,0.054,0.048,0.162,0.086,0.143,0.425,2.313,0.109,0.318,0.428,0.654,0.459,0.146,0.016,1.555,3.253,0.884,0.797,7.592,9.165,7.815,6.525,27.227,1.71,7.274,0.0,0.003,0.261,0.03,.976%
