Rating,date,sp500 rating,tic,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,CAPEI,bm,evm,pe_op_basic,pe_op_dil,ptpm,cfm,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_conversion,inv_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,divyield
AA,Mar-10,B+,ABT,1.787,1.536,0.761,71.2334114,0.187,0.25,0.648,0.292,0.19,0.2,0.285,0.649,2.011958147,0.721973094,0.419270833,0.201,0.0005582,5.475E-07,8.29186E-05,1.23019432,0.001604109,8657.432143,0.000980748,508.0920921,8.591,21.328,0.273,11.146,13.973,14.086,0.234,0.255,0.285,0.239,0.285,0.452,0.381,0.669,0.33,0.483,0.33,0.052,0.036,0.336,0.14,0.281,0.315,1.834,0.317,0.442,0.382,0.689,0.558,0.246,0.85,3.874,0.493,0.563,0.437,1.291,12.057,13.285,128.743,3.581,0.9,1.346,0.095,0,0,-0.032,3.04%
AA,Apr-10,B+,ABT,1.787,1.536,0.761,71.2334114,0.187,0.25,0.648,0.292,0.19,0.2,0.285,0.649,2.011958147,0.721973094,0.419270833,0.201,0.000219579,5.475E-07,8.29186E-05,1.23019432,0.001399159,7882.69746,0.0024932,1291.641308,8.591,20.712,0.273,11.146,13.57,13.679,0.234,0.255,0.285,0.239,0.285,0.452,0.381,0.669,0.33,0.483,0.33,0.052,0.036,0.336,0.14,0.281,0.315,1.834,0.317,0.442,0.382,0.689,0.558,0.246,0.85,3.874,0.493,0.563,0.437,1.291,12.057,13.285,128.743,3.581,0.9,1.346,0.095,0,0,-0.032,3.44%
AA,May-10,B+,ABT,1.554,1.296,0.553,68.95900246,0.167,0.258,0.648,0.297,0.193,0.199,0.259,0.625,2.292944785,0.768404908,0.434518647,0.201,0.000223712,0.000000561,8.74825E-05,1.345092025,0.001318262,6864.104535,0.002507863,891.7413038,8.276,19.561,0.257,10.05,12.418,12.483,0.208,0.236,0.259,0.182,0.259,0.461,0.405,0.652,0.346,0.501,0.347,0.046,0.031,0.247,0.166,0.292,0.321,1.728,0.309,0.447,0.382,0.715,0.614,0.246,0.866,3.851,0.531,0.581,0.455,1.39,11.338,14.121,135.035,3.283,0.975,1.495,0.094,0,0,-0.056,3.70%
AA,Jun-10,B+,ABT,1.554,1.296,0.553,68.95900246,0.167,0.258,0.648,0.297,0.193,0.199,0.259,0.625,2.292944785,0.768404908,0.434518647,0.201,0.000223712,0.000000561,8.74825E-05,1.345092025,0.001318262,6751.530912,0.002507863,891.7413038,8.276,19.24,0.257,10.05,12.214,12.278,0.208,0.236,0.259,0.182,0.259,0.461,0.405,0.652,0.346,0.501,0.347,0.046,0.031,0.247,0.166,0.292,0.321,1.728,0.309,0.447,0.382,0.715,0.614,0.246,0.866,3.851,0.531,0.581,0.455,1.39,11.338,14.121,135.035,3.283,0.975,1.495,0.094,0,0,-0.056,3.76%
AA,Jul-10,B+,ABT,1.554,1.296,0.553,68.95900246,0.167,0.258,0.648,0.297,0.193,0.199,0.259,0.625,2.292944785,0.768404908,0.434518647,0.201,0.000134902,0.000000561,8.74825E-05,1.345092025,0.001341287,6994.162935,0.004158854,1478.797973,8.276,20.186,0.257,10.05,12.815,12.882,0.208,0.236,0.259,0.182,0.259,0.461,0.405,0.652,0.346,0.501,0.347,0.046,0.031,0.247,0.166,0.292,0.321,1.728,0.309,0.447,0.382,0.715,0.614,0.246,0.866,3.851,0.531,0.581,0.455,1.39,11.338,14.121,135.035,3.283,0.975,1.495,0.094,0,0,-0.056,3.59%
AA,Aug-10,B+,ABT,1.485,1.246,0.515,68.62192141,0.161,0.264,0.654,0.295,0.192,0.198,0.25,0.633,2.410216718,0.800309598,0.444539983,0.201,0.000136304,5.669E-07,8.22466E-05,1.388544892,0.001347627,7088.180185,0.004158854,1304.768699,7.447,19.812,0.276,9.78,12.46,12.555,0.199,0.231,0.25,0.179,0.25,0.496,0.414,0.646,0.352,0.517,0.353,0.044,0.03,0.231,0.161,0.302,0.325,1.742,0.319,0.448,0.374,0.704,0.63,0.246,0.875,3.981,0.545,0.592,0.465,1.456,11.395,14.543,126.953,3.449,1.005,1.557,0.098,0,0,-0.067,3.57%
AA,Sep-10,B+,ABT,1.485,1.246,0.515,68.62192141,0.161,0.264,0.654,0.295,0.192,0.198,0.25,0.633,2.410216718,0.800309598,0.444539983,0.201,0.000136304,5.669E-07,8.22466E-05,1.388544892,0.001347627,7504.793937,0.004158854,1304.768699,7.447,20.977,0.276,9.78,13.192,13.293,0.199,0.231,0.25,0.179,0.25,0.496,0.414,0.646,0.352,0.517,0.353,0.044,0.03,0.231,0.161,0.302,0.325,1.742,0.319,0.448,0.374,0.704,0.63,0.246,0.875,3.981,0.545,0.592,0.465,1.456,11.395,14.543,126.953,3.449,1.005,1.557,0.098,0,0,-0.067,3.37%
AA,Oct-10,B+,ABT,1.485,1.246,0.515,68.62192141,0.161,0.264,0.654,0.295,0.192,0.198,0.25,0.633,2.410216718,0.800309598,0.444539983,0.201,0.000100161,5.669E-07,8.22466E-05,1.388544892,0.001172771,7294.205656,0.005659613,1775.605894,7.447,20.607,0.276,9.78,12.96,13.059,0.199,0.231,0.25,0.179,0.25,0.496,0.414,0.646,0.352,0.517,0.353,0.044,0.03,0.231,0.161,0.302,0.325,1.742,0.319,0.448,0.374,0.704,0.63,0.246,0.875,3.981,0.545,0.592,0.465,1.456,11.395,14.543,126.953,3.449,1.005,1.557,0.098,0,0,-0.067,3.43%
AA,Nov-10,B+,ABT,1.374,1.149,0.437,68.85493303,0.139,0.272,0.668,0.3,0.195,0.202,0.222,0.628,2.502347418,0.835680751,0.455242967,0.201,0.000101076,5.712E-07,8.14754E-05,1.438184664,0.001032018,6627.792473,0.005651372,1404.724393,7.338,18.379,0.265,9.554,11.372,11.456,0.17,0.212,0.222,0.16,0.222,0.533,0.419,0.639,0.358,0.534,0.359,0.044,0.03,0.195,0.164,0.319,0.328,1.744,0.329,0.446,0.363,0.696,0.564,0.246,0.883,4.164,0.561,0.606,0.476,1.542,9.987,14.683,125.946,3.433,1.022,1.599,0.108,0,0,-0.066,3.78%
AA,Dec-10,B+,ABT,1.374,1.149,0.437,68.85493303,0.139,0.272,0.668,0.3,0.195,0.202,0.222,0.628,2.502347418,0.835680751,0.455242967,0.201,0.000101076,5.712E-07,8.14754E-05,1.438184664,0.001032018,6827.296008,0.005651372,1404.724393,7.338,18.933,0.265,9.554,11.714,11.8,0.17,0.212,0.222,0.16,0.222,0.533,0.419,0.639,0.358,0.534,0.359,0.044,0.03,0.195,0.164,0.319,0.328,1.744,0.329,0.446,0.363,0.696,0.564,0.246,0.883,4.164,0.561,0.606,0.476,1.542,9.987,14.683,125.946,3.433,1.022,1.599,0.108,0,0,-0.066,3.67%
