交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/1/2,TXO,202401W1,15700,買權,-,-,-,-,0,2130,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,15700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,15700,賣權,-,-,-,-,0,0.1,42,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,15700,賣權,0.1,0.1,0.1,0.1,10,-,-,-,0.9,1.2,0.1,,盤後,0,-
2024/1/2,TXO,202401W1,15800,買權,-,-,-,-,0,2030,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,15800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,15800,賣權,-,-,-,-,0,0.1,174,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,15800,賣權,4.8,95,4.8,95,14,-,-,0.1,4.6,139,0.1,,盤後,94.9,-
2024/1/2,TXO,202401W1,15900,買權,-,-,-,-,0,1930,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,15900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,15900,賣權,-,-,-,-,0,0.1,6,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,15900,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16000,買權,-,-,-,-,0,1830,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16000,賣權,-,-,-,-,0,0.1,13,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16100,買權,-,-,-,-,0,1730,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16100,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16100,賣權,-,-,-,-,0,0.1,8,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16100,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16200,買權,-,-,-,-,0,1630,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16200,賣權,-,-,-,-,0,0.1,10,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16200,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16300,買權,-,-,-,-,0,1530,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16300,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16300,賣權,-,-,-,-,0,0.1,262,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16300,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16400,買權,-,-,-,-,0,1430,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16400,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16400,賣權,-,-,-,-,0,0.1,95,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16400,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16500,買權,-,-,-,-,0,1330,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16500,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16500,賣權,0.2,0.2,0.1,0.2,25,0.2,209,-,1,4,0.1,,一般,0,0.00%
2024/1/2,TXO,202401W1,16500,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16600,買權,-,-,-,-,0,1230,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16600,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16600,賣權,0.2,0.2,0.2,0.2,3,0.2,253,-,7.9,5,0.2,,一般,-0.1,-33.33%
2024/1/2,TXO,202401W1,16600,賣權,0.3,0.3,0.3,0.3,1,-,-,0.3,1.5,5,0.3,,盤後,0,0.00%
2024/1/2,TXO,202401W1,16700,買權,-,-,-,-,0,1130,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16700,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16700,賣權,0.2,0.3,0.2,0.2,6,0.2,241,-,0.6,7.7,0.1,,一般,-0.2,-50%
2024/1/2,TXO,202401W1,16700,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16800,買權,-,-,-,-,0,1030,1,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16800,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16800,賣權,0.2,0.3,0.2,0.3,2,0.2,165,-,3,14,0.2,,一般,-0.1,-25%
