交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/03/01,TXO,202303W1,13800.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,13800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,13800.0000,賣權,0.2,0.2,0.2,0.2,1,0,83,-,0.5,1.1,0.1,,一般,0,0.00%,
2023/03/01,TXO,202303W1,13800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,13900.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,13900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,13900.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,13900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14000.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14000.0000,賣權,0.1,0.1,0.1,0.1,1,0,446,-,0.5,3.9,0.1,,一般,-0.1,-50%,
2023/03/01,TXO,202303W1,14000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14100.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14100.0000,賣權,-,-,-,-,0,0,45,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14200.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14200.0000,賣權,-,-,-,-,0,0,300,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14200.0000,賣權,0.2,0.2,0.2,0.2,4,-,-,-,1.5,6,0.2,,盤後,0,0.00%,
2023/03/01,TXO,202303W1,14300.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14300.0000,賣權,0.2,0.2,0.2,0.2,1,0,406,-,0.4,8.4,0.1,,一般,0,0.00%,
2023/03/01,TXO,202303W1,14300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14400.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14400.0000,賣權,0.2,0.2,0.2,0.2,4,0,1273,-,0.4,15.5,0.1,,一般,0,0.00%,
2023/03/01,TXO,202303W1,14400.0000,賣權,0.7,0.7,0.4,0.4,126,-,-,0.5,0.6,15.5,0.1,,盤後,0.2,100%,
2023/03/01,TXO,202303W1,14500.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14500.0000,賣權,0.1,0.2,0.1,0.2,4,0,2337,0.1,0.3,14.5,0.1,,一般,-0.2,-50%,
2023/03/01,TXO,202303W1,14500.0000,賣權,0.5,0.9,0.5,0.8,113,-,-,0.2,0.8,14.5,0.1,,盤後,0.4,100%,
2023/03/01,TXO,202303W1,14600.0000,買權,-,-,-,-,0,0,2,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14600.0000,賣權,0.4,0.4,0.1,0.1,61,0,3646,-,0.3,19,0.1,,一般,-0.3,-75%,
2023/03/01,TXO,202303W1,14600.0000,賣權,0.8,1.1,0.8,1,306,-,-,0.5,0.9,19,0.2,,盤後,0.6,150%,
2023/03/01,TXO,202303W1,14700.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14700.0000,賣權,0.3,0.4,0.1,0.1,209,0,3128,-,0.3,27.5,0.1,,一般,-0.7,-87.5%,
2023/03/01,TXO,202303W1,14700.0000,賣權,0.9,1.9,0.8,0.8,191,-,-,0.8,1.4,27.5,0.3,,盤後,0,0.00%,
2023/03/01,TXO,202303W1,14800.0000,買權,-,-,-,-,0,0,2,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,14800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14800.0000,賣權,0.2,0.4,0.1,0.1,335,0,5961,0.1,0.3,37.5,0.1,,一般,-1,-90.91%,
2023/03/01,TXO,202303W1,14800.0000,賣權,1.2,2.6,0.5,2.1,760,-,-,1.2,2,37.5,0.5,,盤後,1,90.91%,
2023/03/01,TXO,202303W1,14900.0000,買權,488,545,488,545,80,0,82,690,700,745,488,,一般,-115,-17.42%,
2023/03/01,TXO,202303W1,14900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,14900.0000,賣權,0.1,0.8,0.1,0.1,292,0,4628,0.1,0.3,49,0.1,,一般,-1.5,-93.75%,
2023/03/01,TXO,202303W1,14900.0000,賣權,1.7,4.2,1.1,2.4,858,-,-,1.3,2.3,49,0.7,,盤後,0.8,50%,
2023/03/01,TXO,202303W1,15000.0000,買權,398,490,370,490,46,0,52,590,600,650,358,,一般,-70,-12.5%,
2023/03/01,TXO,202303W1,15000.0000,買權,535,535,434,437,15,-,-,155,-,650,358,,盤後,-123,-21.96%,
2023/03/01,TXO,202303W1,15000.0000,賣權,0.6,0.6,0.1,0.2,791,0,5936,0.1,0.3,68,0.1,,一般,-2.3,-92%,
2023/03/01,TXO,202303W1,15000.0000,賣權,2.7,7.4,2.6,3.8,3547,-,-,3.1,3.8,68,1.1,,盤後,1.3,52%,
2023/03/01,TXO,202303W1,15050.0000,買權,320,450,320,450,24,0,21,540,550,450,320,,一般,-60,-11.76%,
2023/03/01,TXO,202303W1,15050.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,15050.0000,賣權,0.8,0.8,0.1,0.1,541,0,2382,0.1,0.3,49,0.1,,一般,-3.2,-96.97%,
2023/03/01,TXO,202303W1,15050.0000,賣權,3.7,10,3.5,5.3,1620,-,-,5,5.3,49,1.4,,盤後,2,60.61%,
2023/03/01,TXO,202303W1,15100.0000,買權,303,473,276,473,69,0,65,489,499,605,272,,一般,13,2.83%,
2023/03/01,TXO,202303W1,15100.0000,買權,358,358,330,340,6,-,-,331,395,605,272,,盤後,-120,-26.09%,
2023/03/01,TXO,202303W1,15100.0000,賣權,1,1,0.1,0.1,1485,0,4723,0.1,0.3,90,0.1,,一般,-4.3,-97.73%,
2023/03/01,TXO,202303W1,15100.0000,賣權,4.7,14,4.5,7.8,5188,-,-,7.1,7.9,90,1.9,,盤後,3.4,77.27%,
2023/03/01,TXO,202303W1,15150.0000,買權,227,428,227,428,79,0,71,439,449,555,227,,一般,16,3.88%,
2023/03/01,TXO,202303W1,15150.0000,買權,372,372,286,296,14,-,-,250,-,555,245,,盤後,-116,-28.16%,
2023/03/01,TXO,202303W1,15150.0000,賣權,1.1,1.4,0.1,0.1,2060,0,3737,-,0.2,67,0.1,,一般,-5.9,-98.33%,
2023/03/01,TXO,202303W1,15150.0000,賣權,5.9,19.5,5.9,9.7,5054,-,-,9.7,10.5,67,2.8,,盤後,3.7,61.67%,
2023/03/01,TXO,202303W1,15200.0000,買權,184,392,163,392,522,0,238,389,399,510,163,,一般,27,7.4%,
2023/03/01,TXO,202303W1,15200.0000,買權,338,353,242,261,151,-,-,228,-,510,200,,盤後,-104,-28.49%,
2023/03/01,TXO,202303W1,15200.0000,賣權,3,3.9,0.1,0.2,6619,0,7611,-,0.2,120,0.1,,一般,-8.6,-97.73%,
2023/03/01,TXO,202303W1,15200.0000,賣權,8.8,26.5,8.8,14.5,9053,-,-,14.5,15,120,3.8,,盤後,5.7,64.77%,
2023/03/01,TXO,202303W1,15250.0000,買權,149,345,116,343,1517,0,298,340,345,461,116,,一般,26,8.2%,
2023/03/01,TXO,202303W1,15250.0000,買權,303,308,198,226,220,-,-,206,260,461,173,,盤後,-91,-28.71%,
2023/03/01,TXO,202303W1,15250.0000,賣權,6,7.6,0.1,0.3,10875,0,6918,-,0.3,135,0.1,,一般,-11.2,-97.39%,
2023/03/01,TXO,202303W1,15250.0000,賣權,12.5,35.5,12.5,19,7070,-,-,18,21.5,135,5.4,,盤後,7.5,65.22%,
2023/03/01,TXO,202303W1,15300.0000,買權,93,295,75,295,5120,0,877,294,296,412,75,,一般,22,8.06%,
2023/03/01,TXO,202303W1,15300.0000,買權,264,265,159,175,1013,-,-,162,185,412,136,,盤後,-98,-35.9%,
2023/03/01,TXO,202303W1,15300.0000,賣權,12,16,0.1,0.1,19942,0,9777,0.1,0.3,160,0.1,,一般,-17.4,-99.43%,
2023/03/01,TXO,202303W1,15300.0000,賣權,18,49,17.5,29,12842,-,-,27,30,160,7.6,,盤後,11.5,65.71%,
2023/03/01,TXO,202303W1,15350.0000,買權,77,245,41.5,244,12479,0,1839,243,244,370,41.5,,一般,15,6.55%,
2023/03/01,TXO,202303W1,15350.0000,買權,221,224,125,145,2317,-,-,135,149,370,111,,盤後,-84,-36.68%,
2023/03/01,TXO,202303W1,15350.0000,賣權,25.5,34,0.1,0.1,23690,0,7189,0.1,0.2,178,0.1,,一般,-23.4,-99.57%,
2023/03/01,TXO,202303W1,15350.0000,賣權,25,64,25,36,11292,-,-,35,36,178,10.5,,盤後,12.5,53.19%,
