日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2020/1/2,68,102,56,0.1,0,0,0,0,1,0
2020/1/3,,52,,56,-19,-3,-950,-150,1,-950
2020/1/6,,5.4,,147,-46.6,91,-2330,4550,1,-2330
2020/1/7,,0.6,,225,-4.8,78,-240,3900,1,-240
2020/1/8,136,0.1,99,260,-0.5,35,-25,1750,1,-25
2020/1/9,,247,,29,108,-73,5400,-3650,1,5400
2020/1/10,,284,,20,37,-9,1850,-450,1,1850
2020/1/13,,370,,1.5,86,-18.5,4300,-925,1,4300
2020/1/14,,431,,0.9,61,-0.6,3050,-30,1,3050
2020/1/15,101,313,86,0.1,-118,-0.8,-5900,-40,1,-5900
2020/1/16,,99,,84,-5,-5,-250,-250,1,-250
2020/1/17,,100,,66,1,-18,50,-900,1,50
2020/1/20,,120,,47.5,20,-18.5,1000,-925,1,1000
2020/1/30,186,0.2,95,615,-119.8,567.5,-5990,28375,1,-5990
2020/1/31,,228,,42.5,39,-55.5,1950,-2775,1,1950
2020/2/3,,115,,76,-113,33.5,-5650,1675,1,-5650
2020/2/4,,258,,7.9,143,-68.1,7150,-3405,1,7150
2020/2/5,149,260,96,0.1,2,-7.8,100,-390,1,100
2020/2/6,,278,,28.5,126,-70.5,6300,-3525,1,6300
2020/2/7,,161,,56,-117,27.5,-5850,1375,1,-5850
2020/2/10,,126,,44,-35,-12,-1750,-600,1,-1750
2020/2/11,,187,,8.4,61,-35.6,3050,-1780,1,3050
2020/2/12,110,293,90,0.2,106,-8.2,5300,-410,1,5300
2020/2/13,,105,,79,-8,-14,-400,-700,1,-400
2020/2/14,,108,,47,3,-32,150,-1600,1,150
2020/2/17,,61,,40.5,-47,-6.5,-2350,-325,1,-2350
2020/2/18,,8.2,,117,-52.8,76.5,-2640,3825,1,-2640
